[epoch 1] train_loss: 1.943  val_accuracy: 0.191
[epoch 2] train_loss: 1.934  val_accuracy: 0.209
[epoch 3] train_loss: 1.934  val_accuracy: 0.206
[epoch 4] train_loss: 1.927  val_accuracy: 0.217
[epoch 5] train_loss: 1.921  val_accuracy: 0.206
[epoch 6] train_loss: 1.921  val_accuracy: 0.231
[epoch 7] train_loss: 1.897  val_accuracy: 0.231
[epoch 8] train_loss: 1.893  val_accuracy: 0.234
[epoch 9] train_loss: 1.875  val_accuracy: 0.234
[epoch 10] train_loss: 1.856  val_accuracy: 0.257
[epoch 11] train_loss: 1.845  val_accuracy: 0.280
[epoch 12] train_loss: 1.834  val_accuracy: 0.297
[epoch 13] train_loss: 1.834  val_accuracy: 0.291
[epoch 14] train_loss: 1.812  val_accuracy: 0.263
[epoch 15] train_loss: 1.804  val_accuracy: 0.309
[epoch 16] train_loss: 1.782  val_accuracy: 0.314
[epoch 17] train_loss: 1.781  val_accuracy: 0.317
[epoch 18] train_loss: 1.785  val_accuracy: 0.334
[epoch 19] train_loss: 1.734  val_accuracy: 0.389
[epoch 20] train_loss: 1.750  val_accuracy: 0.371
[epoch 21] train_loss: 1.726  val_accuracy: 0.386
[epoch 22] train_loss: 1.715  val_accuracy: 0.371
[epoch 23] train_loss: 1.698  val_accuracy: 0.340
[epoch 24] train_loss: 1.672  val_accuracy: 0.394
[epoch 25] train_loss: 1.694  val_accuracy: 0.383
[epoch 26] train_loss: 1.665  val_accuracy: 0.400
[epoch 27] train_loss: 1.642  val_accuracy: 0.411
[epoch 28] train_loss: 1.629  val_accuracy: 0.386
[epoch 29] train_loss: 1.623  val_accuracy: 0.397
[epoch 30] train_loss: 1.618  val_accuracy: 0.409
[epoch 31] train_loss: 1.620  val_accuracy: 0.426
[epoch 32] train_loss: 1.575  val_accuracy: 0.431
[epoch 33] train_loss: 1.595  val_accuracy: 0.443
[epoch 34] train_loss: 1.592  val_accuracy: 0.429
[epoch 35] train_loss: 1.568  val_accuracy: 0.451
[epoch 36] train_loss: 1.564  val_accuracy: 0.443
[epoch 37] train_loss: 1.549  val_accuracy: 0.440
[epoch 38] train_loss: 1.549  val_accuracy: 0.466
[epoch 39] train_loss: 1.542  val_accuracy: 0.449
[epoch 40] train_loss: 1.521  val_accuracy: 0.440
[epoch 41] train_loss: 1.542  val_accuracy: 0.466
[epoch 42] train_loss: 1.535  val_accuracy: 0.451
[epoch 43] train_loss: 1.508  val_accuracy: 0.469
[epoch 44] train_loss: 1.500  val_accuracy: 0.449
[epoch 45] train_loss: 1.478  val_accuracy: 0.460
[epoch 46] train_loss: 1.502  val_accuracy: 0.480
[epoch 47] train_loss: 1.463  val_accuracy: 0.466
[epoch 48] train_loss: 1.477  val_accuracy: 0.500
[epoch 49] train_loss: 1.443  val_accuracy: 0.449
[epoch 50] train_loss: 1.465  val_accuracy: 0.491
[epoch 51] train_loss: 1.480  val_accuracy: 0.494
[epoch 52] train_loss: 1.440  val_accuracy: 0.463
[epoch 53] train_loss: 1.412  val_accuracy: 0.491
[epoch 54] train_loss: 1.435  val_accuracy: 0.474
[epoch 55] train_loss: 1.418  val_accuracy: 0.477
[epoch 56] train_loss: 1.417  val_accuracy: 0.471
[epoch 57] train_loss: 1.427  val_accuracy: 0.500
[epoch 58] train_loss: 1.419  val_accuracy: 0.497
[epoch 59] train_loss: 1.412  val_accuracy: 0.483
[epoch 60] train_loss: 1.405  val_accuracy: 0.480
[epoch 61] train_loss: 1.396  val_accuracy: 0.497
[epoch 62] train_loss: 1.374  val_accuracy: 0.477
[epoch 63] train_loss: 1.397  val_accuracy: 0.491
[epoch 64] train_loss: 1.380  val_accuracy: 0.477
[epoch 65] train_loss: 1.357  val_accuracy: 0.486
[epoch 66] train_loss: 1.361  val_accuracy: 0.491
[epoch 67] train_loss: 1.346  val_accuracy: 0.457
