[epoch 1] train_loss: 1.763  val_accuracy: 0.385
[epoch 2] train_loss: 1.639  val_accuracy: 0.451
[epoch 3] train_loss: 1.544  val_accuracy: 0.469
[epoch 4] train_loss: 1.484  val_accuracy: 0.483
[epoch 5] train_loss: 1.445  val_accuracy: 0.519
[epoch 6] train_loss: 1.407  val_accuracy: 0.516
[epoch 7] train_loss: 1.390  val_accuracy: 0.542
[epoch 8] train_loss: 1.369  val_accuracy: 0.559
[epoch 9] train_loss: 1.351  val_accuracy: 0.564
[epoch 10] train_loss: 1.338  val_accuracy: 0.570
[epoch 11] train_loss: 1.317  val_accuracy: 0.572
[epoch 12] train_loss: 1.312  val_accuracy: 0.580
[epoch 13] train_loss: 1.298  val_accuracy: 0.578
[epoch 14] train_loss: 1.287  val_accuracy: 0.575
[epoch 15] train_loss: 1.276  val_accuracy: 0.583
[epoch 16] train_loss: 1.267  val_accuracy: 0.591
[epoch 17] train_loss: 1.255  val_accuracy: 0.593
[epoch 18] train_loss: 1.251  val_accuracy: 0.597
[epoch 19] train_loss: 1.235  val_accuracy: 0.587
[epoch 20] train_loss: 1.232  val_accuracy: 0.605
[epoch 21] train_loss: 1.233  val_accuracy: 0.600
[epoch 22] train_loss: 1.221  val_accuracy: 0.602
[epoch 23] train_loss: 1.215  val_accuracy: 0.607
[epoch 24] train_loss: 1.219  val_accuracy: 0.597
[epoch 25] train_loss: 1.205  val_accuracy: 0.608
[epoch 26] train_loss: 1.201  val_accuracy: 0.601
[epoch 27] train_loss: 1.191  val_accuracy: 0.605
[epoch 28] train_loss: 1.193  val_accuracy: 0.609
[epoch 29] train_loss: 1.192  val_accuracy: 0.618
[epoch 30] train_loss: 1.186  val_accuracy: 0.617
[epoch 31] train_loss: 1.178  val_accuracy: 0.616
[epoch 32] train_loss: 1.170  val_accuracy: 0.618
[epoch 33] train_loss: 1.170  val_accuracy: 0.604
[epoch 34] train_loss: 1.167  val_accuracy: 0.603
[epoch 35] train_loss: 1.165  val_accuracy: 0.616
[epoch 36] train_loss: 1.151  val_accuracy: 0.615
[epoch 37] train_loss: 1.158  val_accuracy: 0.619
[epoch 38] train_loss: 1.151  val_accuracy: 0.620
[epoch 39] train_loss: 1.149  val_accuracy: 0.613
[epoch 40] train_loss: 1.143  val_accuracy: 0.625
[epoch 41] train_loss: 1.148  val_accuracy: 0.633
[epoch 42] train_loss: 1.139  val_accuracy: 0.618
[epoch 43] train_loss: 1.140  val_accuracy: 0.622
[epoch 44] train_loss: 1.130  val_accuracy: 0.626
[epoch 45] train_loss: 1.132  val_accuracy: 0.624
[epoch 46] train_loss: 1.125  val_accuracy: 0.628
[epoch 47] train_loss: 1.126  val_accuracy: 0.619
[epoch 48] train_loss: 1.123  val_accuracy: 0.617
[epoch 49] train_loss: 1.125  val_accuracy: 0.619
[epoch 50] train_loss: 1.112  val_accuracy: 0.623
[epoch 51] train_loss: 1.115  val_accuracy: 0.613
[epoch 52] train_loss: 1.109  val_accuracy: 0.621
